Id;Label
0;Программировани(PK-3,PK-4)
1;Программируемые(PK-4,PK-5)
2;Цифровая обрабо(PK-2,PK-4)
3;Исследовательск(PK-1,PK-2,PK-4,PK-5)
4;Беспроводные и (PK-1,PK-2,PK-5)
5;Встраиваемые оп(PK-1,PK-3,PK-4)
6;Английский язык(UK-4,UK-5)
7;Контрольно-изме(OPK-5,OPK-6)
8;Сенсоры и датчи(OPK-2,OPK-6)
9;Цифровая электр(OPK-4,OPK-5,OPK-6)
10;Микроконтроллер(OPK-5,OPK-6,UK-1)
11;Научно-исследов(OPK-3,OPK-4)
12;Английский язык(UK-4,UK-5,UK-6)
13;Организация нау(OPK-4,OPK-8,UK-2,UK-3)
14;Интернет вещей (OPK-5,OPK-6)
15;Системы искусст(OPK-4,OPK-7)
16;Ознакомительная(OPK-3,UK-6)
17;Научно-исследов(OPK-1,OPK-4)
18;Академическое п(UK-4)
19;Анализ требован(UK-3)
